farm_id;region;crop_type;soil_moisture_%;soil_pH;temperature_C;rainfall_mm;humidity_%;sunlight_hours;irrigation_type;fertilizer_type;pesticide_usage_ml;sowing_date;harvest_date;total_days;yield_kg_per_hectare;sensor_id;timestamp;latitude;longitude;NDVI_index;crop_disease_status
FARM0001;North India;Wheat;35.95;5.99;17.79;75.62;77.03;7.27;None;Organic;6.34;08/01/2024;09/05/2024;122;4408.07;SENS0001;19/03/2024;14.970.941;82.997.689;0.63;Mild
FARM0002;South USA;Soybean;19.74;7.24;30.18;89.91;61.13;5.67;Sprinkler;Inorganic;9.6;04/02/2024;26/05/2024;112;5389.98;SENS0002;21/04/2024;16.613.022;70.869.009;0.58;None
FARM0003;South USA;Wheat;29.32;7.16;27.37;265.43;68.87;8.23;Drip;Mixed;15.26;03/02/2024;26/06/2024;144;2931.16;SENS0003;28/02/2024;19.503.156;79.068.206;0.8;Mild
FARM0004;Central USA;Maize;17.33;6.03;33.73;212.01;70.46;5.03;Sprinkler;Organic;25.8;21/02/2024;04/07/2024;134;4227.8;SENS0004;14/05/2024;31.071.298;85.519.998;0.44;None
FARM0005;Central USA;Cotton;19.37;5.92;33.86;269.09;55.73;7.93;None;Mixed;25.65;05/02/2024;20/05/2024;105;4979.96;SENS0005;13/04/2024;1.656.854;8.169.172;0.84;Severe
FARM0006;Central USA;Rice;44.91;5.78;24.87;238.95;83.06;4.92;Sprinkler;Mixed;24.0;13/01/2024;06/05/2024;114;4383.55;SENS0006;12/03/2024;23.227.859;89.421.568;0.82;None
FARM0007;North India;Soybean;36.28;7.04;21.8;123.38;47.91;4.02;Manual;Mixed;39.29;04/03/2024;27/07/2024;145;4501.2;SENS0007;11/07/2024;25.224.255;73.056.785;0.76;None
FARM0008;East Africa;Maize;27.1;5.72;22.26;296.33;80.34;5.44;Sprinkler;Mixed;47.61;24/01/2024;24/05/2024;121;5264.09;SENS0008;30/04/2024;23.317.654;7.251.521;0.7;Mild
FARM0009;Central USA;Soybean;40.54;6.35;19.24;184.82;76.5;5.21;Manual;Inorganic;49.78;12/03/2024;08/07/2024;118;5598.46;SENS0009;08/05/2024;13.025.105;74.493.947;0.5;Mild
FARM0010;East Africa;Rice;10.25;6.92;16.18;66.85;41.57;5.98;Sprinkler;Inorganic;35.1;18/01/2024;25/04/2024;98;4893.41;SENS0010;31/03/2024;24.405.291;74.859.945;0.58;Severe
FARM0011;South India;Wheat;13.39;6.36;23.47;166.76;76.45;8.04;Drip;Organic;23.12;26/02/2024;20/07/2024;145;2437.08;SENS0011;15/04/2024;14.755.223;78.972.271;0.55;Moderate
FARM0012;South USA;Rice;40.61;5.65;31.16;263.99;44.9;7.91;Drip;Organic;46.69;06/01/2024;01/05/2024;116;3942.56;SENS0012;02/02/2024;3.161.626;88.048.857;0.4;None
FARM0013;South USA;Maize;42.43;7.07;20.7;224.15;76.53;8.7;None;Organic;13.55;02/01/2024;08/05/2024;127;4942.95;SENS0013;17/01/2024;28.699.389;71.143.305;0.65;Mild
FARM0014;North India;Soybean;12.8;5.87;26.9;218.8;51.76;4.72;Sprinkler;Mixed;31.75;03/03/2024;27/06/2024;116;4629.49;SENS0014;14/05/2024;23.069.568;88.694.125;0.42;Moderate
FARM0015;South India;Maize;23.85;6.84;21.0;129.04;77.59;4.44;None;Mixed;49.93;03/01/2024;06/05/2024;124;2852.62;SENS0015;05/02/2024;13.311.414;76.980.177;0.34;Mild
FARM0016;Central USA;Maize;15.52;7.17;29.07;202.92;89.36;7.92;Drip;Mixed;41.77;22/02/2024;28/05/2024;96;5755.72;SENS0016;10/03/2024;16.611.648;87.794.254;0.75;Mild
FARM0017;Central USA;Maize;31.17;6.94;19.07;208.56;53.2;6.93;Drip;Organic;33.54;02/02/2024;02/05/2024;90;3334.23;SENS0017;18/02/2024;25.927.834;75.239.105;0.74;Severe
FARM0018;East Africa;Wheat;13.92;7.39;28.82;87.26;41.8;6.22;Sprinkler;Inorganic;10.74;12/02/2024;08/07/2024;147;5732.35;SENS0018;22/02/2024;32.473.116;74.201.531;0.45;None
FARM0019;Central USA;Soybean;40.94;6.31;27.41;88.64;86.49;9.19;Sprinkler;Inorganic;6.12;11/03/2024;29/07/2024;140;5723.26;SENS0019;13/05/2024;16.670.143;8.574.749;0.36;None
FARM0020;South USA;Rice;16.99;7.34;21.99;255.13;83.57;5.34;Sprinkler;Inorganic;19.77;25/01/2024;11/05/2024;107;3404.58;SENS0020;30/03/2024;1.999.196;89.622.994;0.62;None
FARM0021;North India;Maize;16.25;7.43;20.31;77.1;61.73;8.37;Manual;Inorganic;32.28;04/03/2024;26/06/2024;114;5598.02;SENS0021;28/03/2024;16.368.063;84.175.706;0.3;Mild
FARM0022;Central USA;Cotton;12.45;6.83;21.6;128.48;82.4;8.32;Manual;Mixed;18.92;11/02/2024;05/06/2024;115;4788.83;SENS0022;21/04/2024;13.182.195;78.408.927;0.86;Mild
FARM0023;East Africa;Soybean;20.53;6.6;15.01;121.73;61.49;7.48;Manual;Inorganic;24.88;07/03/2024;07/07/2024;122;3892.74;SENS0023;30/06/2024;339.958;84.719.229;0.7;Moderate
FARM0024;East Africa;Soybean;21.73;7.14;30.02;218.2;51.23;5.19;Drip;Organic;16.02;20/02/2024;13/07/2024;144;5073.96;SENS0024;15/06/2024;20.361.025;82.595.308;0.42;Severe
FARM0025;South USA;Cotton;18.54;6.81;15.11;237.74;78.5;4.64;None;Organic;12.91;17/03/2024;14/07/2024;119;2200.87;SENS0025;17/04/2024;3.293.675;72.427.172;0.38;Severe
FARM0026;East Africa;Soybean;30.84;7.4;32.83;203.16;75.96;7.03;None;Organic;38.46;15/02/2024;31/05/2024;106;5007.11;SENS0026;06/05/2024;16.932.784;85.553.497;0.59;Mild
FARM0027;Central USA;Cotton;12.71;6.07;20.43;129.93;67.01;4.83;Sprinkler;Inorganic;36.23;07/03/2024;09/06/2024;94;3659.47;SENS0027;18/04/2024;23.565.279;78.315.485;0.42;Severe
FARM0028;South USA;Soybean;43.11;5.54;32.61;193.92;63.85;9.66;Manual;Inorganic;43.41;18/02/2024;04/07/2024;137;4938.54;SENS0028;14/04/2024;22.205.737;75.458.706;0.59;Severe
FARM0029;Central USA;Cotton;35.35;7.18;33.39;295.18;66.71;9.44;Drip;Organic;33.92;28/01/2024;26/05/2024;119;2726.92;SENS0029;01/03/2024;19.477.597;74.233.206;0.5;Severe
FARM0030;Central USA;Cotton;18.83;5.66;15.39;184.85;90.0;6.1;Drip;Mixed;6.81;08/01/2024;19/04/2024;102;5356.92;SENS0030;27/03/2024;13.809.559;72.524.419;0.7;Mild
FARM0031;South USA;Maize;36.84;5.84;27.14;236.98;45.73;8.92;Manual;Organic;31.04;19/02/2024;01/07/2024;133;5632.1;SENS0031;25/05/2024;19.916.361;84.300.294;0.35;Mild
FARM0032;North India;Maize;39.76;6.7;17.42;295.96;79.13;6.08;None;Mixed;21.68;21/03/2024;10/07/2024;111;2050.61;SENS0032;13/05/2024;30.558.273;72.110.777;0.88;Severe
FARM0033;South India;Cotton;16.16;6.54;28.01;203.98;85.98;8.65;None;Inorganic;42.16;09/03/2024;27/06/2024;110;5406.85;SENS0033;23/06/2024;33.365.547;75.578.565;0.57;Severe
